‫‪serialNum‬‬,url‬‬,name‬‬,year‬‬,producer‬‬,actors‬‬,genres‬‬
44500,http://www.torec.net/sub.asp?sub_id=44500,וורקראפט: ההתחלה   /  Warcraft, 2016, דאנקן ג'ונס,"קאלום קית' רני, קלאנסי בראון, דניאל וו, בן פוסטר, פאולה פאטון, טובי קבל, דניאל קודמור", הרפתקאות / פנטזיה / פעולה
44387,http://www.torec.net/sub.asp?sub_id=44387,הצייד: מלחמת החורף   /  The Huntsman Winter's War, 2016, סדריק ניקולס-טרויאן,"שרליז ת'רון, ניק פרוסט, רוב בריידון, אמילי בלאנט, ג'סיקה צ'סטיין, כריס המסוורת', סאם הייזלדין", דרמה / הרפתקאות / פנטזיה / פעולה
45753,http://www.torec.net/sub.asp?sub_id=45753,תמריץ   /  Boost, 2016, ,"דני טרחו, דני גרסיה, רוב נגל", דרמה / פעולה / פשע
45739,http://www.torec.net/sub.asp?sub_id=45739,מלך שלי   /  Mon roi, 2015, ,"ונסן קאסל, עמנואל ברקו, לואי גארל, איזליד לה בוסקו", דרמה / רומנטיקה / זר (צרפתית)
44410,http://www.torec.net/sub.asp?sub_id=44410,אנגרי בירדס: הסרט   /  Angry Birds, 2016," כלאי קייטיס, פרגל רילי","ג'פרי ארנד, פיטר דינקלג', טוני הייל, מאיה רודולף, דני מקברייד, ביל היידר, אייק ברינהולץ", אנימציה / פעולה / קומדיה
45734,http://www.torec.net/sub.asp?sub_id=45734,המספרה 3   /  Barbershop: The Next Cut, 2016, מלקולם דלי,"גרסל ביוויס, שיין פטריק תומס, רג'ינה הול, אנתוני אנדרסון, טרוי גריטי, דה ריי דאביס, ג'סמין לואיס", קומדיה
45727,http://www.torec.net/sub.asp?sub_id=45727,בלב היער   /  Into The Forest, 2015, ,"אלן פייג', אוון רייצ'ל ווד, מקס מינגהלה, קאלום קית' רני", דרמה / מדע בדיוני
1685,http://www.torec.net/sub.asp?sub_id=1685,רקוויאם לחלום   /  Requiem For a Dream, 2001, דארן ארונופסקי ,"אלן ברנשטיין, ג'רארד ליטו, ג'ניפר קונלי, מרלון ואיינס, כריסטופר מקדונלד, לואיז לסר, מארשה ג'ין קורז", דרמה / פשע
13099,http://www.torec.net/sub.asp?sub_id=13099,מלך קליפורניה   /  King Of California, 2007, מייק קאהיל,"מייקל דאגלס, אוון רייצ'ל ווד, אליסין אשלי ארם, ויליס בורקס השני, וויליס צ'אנג, גרג דייויד ג'וניור, גראלד אמריק", קומדיה
45720,http://www.torec.net/sub.asp?sub_id=45720,נהר   /  River, 2015,"","", מתח
45710,http://www.torec.net/sub.asp?sub_id=45710,מסע בין כוכבים : הבוגדים   /  Star Trek Renegades, 2015,"","", מדע בדיוני
44705,http://www.torec.net/sub.asp?sub_id=44705,הכל הולך   /  Just Before I Go, 2014, קורטני קוקס,"שון וויליאם סקוט, אוליביה תירלבי, גארט דילהאנט, קייט וולש, קייל גלנר, איבן רוס, רוב ריגל", דרמה / קומדיה
44704,http://www.torec.net/sub.asp?sub_id=44704,החיים הסודיים של חיות המחמד   /  The Secret Life Of Pets, 2016," כריס רינוד, ירוו צ'אני","אלברט ברוקס, לואיס סיקיי, קווין הארט, אריק סטונסטריט, לייק בל", אנימציה
44690,http://www.torec.net/sub.asp?sub_id=44690,דמות אב   /  Partisan, 2015, אריאל קליימן,"וינסנט קאסל, ג'רמי צ'בריאל, פלורנס מזארה", דרמה / מתח
44686,http://www.torec.net/sub.asp?sub_id=44686,קרימינל   /  Criminal, 2016, אריאל וורומן,"רוברט דבי, טומי לי ג'ונס, קווין קוסטנר, מייקל פיט, גארי אולדמן, סטיבן ברנד, ריאן ריינולדס, גל גדות", דרמה / פעולה / פשע
44395,http://www.torec.net/sub.asp?sub_id=44395,אקס-מן: אפוקליפסה   /  X-Men: Apocalypse, 2016, בריאן סינגר,"יו ג'קמן, ניקולס הולט, רוז ביירן, ג'יימס מקאבוי, ג'ואן בולנד, מייקל פאסבנדר, אוסקר אייזק", הרפתקאות / פנטזיה / פעולה
1931,http://www.torec.net/sub.asp?sub_id=1931,חניבעל   /  Hannibal, 2001, רידלי סקוט,"אנתוני הופקינס, ג'וליאן מור, גארי אולדמן, ריי ליוטה, פרנקי פייסון, ג'יאנקרלו ג'יאניני, פראנצ'סקה נרי", מתח / פשע
44665,http://www.torec.net/sub.asp?sub_id=44665,אפס ימים   /  Zero Days, 2016,"","", דוקומנטרי
8068,http://www.torec.net/sub.asp?sub_id=8068,שתיקת הכבשים   /  The Silence Of The Lambs, 1991, ג'ונתן דמי,"ג'ודי פוסטר, אנתוני הופקינס, סקוט גלן, אנתוני הרלד, טד לווין, פרנקי פייזון, ברוק סמית, קאסי למונס, פול לאזר", מתח / פעולה / אימה / פשע
44662,http://www.torec.net/sub.asp?sub_id=44662,ללכת בדרכך   /  Me Before You, 2016, ת'אה שארוק,"צ'ארלס דאנס, ג'נט מקטייר, אמיליה קלארק, מת'יו לואיס, סאם קלאפלין", דרמה
172,http://www.torec.net/sub.asp?sub_id=172,אני אתה וכל השאר   /  Me and You and Everyone We Know, 2005, מירנדה ג'ולי,"ג'ון הוקס, מירנדה ג'ולי, מיילס תומפסון, ברנדון רתקליף"," קומדיה, דרמה"
44653,http://www.torec.net/sub.asp?sub_id=44653,תיבת פנדורה   /  Pandora's Box, 2008,"","", דרמה
323,http://www.torec.net/sub.asp?sub_id=323,50 דייטים ראשונים   /  First Dates ‏50, 2005, פיטר סגל,"אדם סנדלר, דרו ברימור, רוב שניידר, שון אסטין, דן אקרויד, אלן קוורט, לוסיה סטרוס", קומדיה / רומנטיקה
205,http://www.torec.net/sub.asp?sub_id=205,בתול בן 40   /  The 40 Year Old Virgin, 2005, ג'אד אפאטו,"סטיב קרל, קתרין קינר, פול ראד, רומני מלקו, סת רוג'ר, אליזבת בנקס"," קומדיה, רומנטיקה"
143,http://www.torec.net/sub.asp?sub_id=143,משימה בגוב האריות   /  Den Of Lions, 2003, ג'יימס ברוס,"סטפן דורף, בוב הוסקינס, לורה פרייזר, יאן הארט, דיוויד אוהרה", מתח
1630,http://www.torec.net/sub.asp?sub_id=1630,זורו 2 - האגדה של זורו   /  The Legend of Zorro, 2005, מרטין קמפבל,"אנטוניו בנדרס, קתרין זיטה ג'ונס, גיואנה זאכאריס, ראול מנדז, אדריאן אלונסו, רופוס סיוול"," פעולה, אקשן, מערבון"
1677,http://www.torec.net/sub.asp?sub_id=1677,חיים בלתי גמורים   /  An Unfinished Life, 2005, לסה הלסטרום,"רוברט רדפורד, ג'ניפר לופז, מורגן פרימן, ג'וש לוקאס, בקה גרדנר, קמרין מנהיים", דרמה
1611,http://www.torec.net/sub.asp?sub_id=1611,האחד   /  The One, 2001, ג'יימס וונג,"ג'ט לי, דלרוי לינדו, ג'ייסון סטאת'אם, קרלה גוגינו", אקשן - פעולה - מדע בדיוני
1608,http://www.torec.net/sub.asp?sub_id=1608,דוח מיוחד   /  Minority Report, 2002, סטיבן שפילברג,"טום קרוז, סמנתה מורטון, קולין פארל", פעולה - מדע בדיוני
1601,http://www.torec.net/sub.asp?sub_id=1601,נעדר באמריקה   /  Missing In America, 2005, גבריאל סבג דוקטרמן,"דני גלובר, לינדה המילטון, דיויד סטרתיירן, רון פלרמן", דרמה
1598,http://www.torec.net/sub.asp?sub_id=1598,הבריחה   /  1972) The Getaway), 1972, סם פקינפה,"סטיב מקווין, אלי מקגרו, בן ג'ונסון, סאלתי סתרת'רס"," מתח, פשע"
1587,http://www.torec.net/sub.asp?sub_id=1587,אליזבט טאון   /  Elizabethtown, 2005, קמרון קרואו,"אורלנדו בלום, קירסטן דאנסט, סוזן סרנדון, אלק בולדווין, ג'ודי גריר, ברוס מקגיל, ג'סיקה ביאל, פול שניידר, לודון וויינרייט, ג'אד ריס", קומדיה / רומנטיקה
1490,http://www.torec.net/sub.asp?sub_id=1490,סופרמן 2   /  Superman II, 1980, ריצ'ארד דונר,"כריסטופר ריבס, ג'ין הקמן, מרגו קידר, נד ביטי, טרנס סטמפ", פעולה / הרפתקאות / מדע בדיוני
1493,http://www.torec.net/sub.asp?sub_id=1493,שקרים טיפשיים   /  Rx (Simple Lies), 2005, אריאל ורומין,"אריק בלפור, קולין האנקס, לאורן גרמן, אלאן טודיק, "," פשע, מתח, דרמה."
1498,http://www.torec.net/sub.asp?sub_id=1498,הארי פוטר וגביע האש   /  Harry Potter and the Goblet of Fire, 2005, מייק ניואל,"דניאל רדקליף, רופרט גרינט, אמה ווטסון, רובי קולטרין, ראלף פינס, מייקל גמבון, ברנדן גליסון, ג'ייסון אייזיק, גארי אולדמן, מירנדה ריצארדסון, אלן ריקמן, מגי סמית', טימוטי ספל, שירלי הנדרסון", הרפתקאות/פנטזיה
1566,http://www.torec.net/sub.asp?sub_id=1566,אני אוהב את פינושה   /  I Love Pinochet, 2001, מרסלה סעיד,"", תיעודי
1515,http://www.torec.net/sub.asp?sub_id=1515,תרגיל לחשפניות מתחילות   /  Cloud 9, 2006, הארי בזיל,"ברט ריינולדס, אנג'י אוורהארט, פול רודריגז, די.אל האגלי, גבריאל ריס, פול ווסלי, קתרין וויניק, מרנט פטרסון, קניה מור, סטיב מונרו", קומדיה / ספורט
1510,http://www.torec.net/sub.asp?sub_id=1510,ריבאונד   /  Rebound, 2005, סטיב קאר,"מרטין לורנס, וונדי רחל רובינסון, ברקין מאייר, הורשיו סאנז, פטריק וורבורטון, מייגן מולאלי, אורן וויליאמס, אדי מרטין, סטיבן כריסטופר פרקר, אליה שוקאט", קומדיה / ספורט
1522,http://www.torec.net/sub.asp?sub_id=1522,בן המעמד הנמוך   /  Underclassman, 2005, מרקוס סיגה,"ניק קאנון, רוזלין סאנצ'ז, שון אשמור, אנג'לו ספיצירי, יו בונוויל, צ'יץ' מרין, איאן גומז", פעולה / קומדיה / פשע / דרמה / מתח
1527,http://www.torec.net/sub.asp?sub_id=1527,כנופיית נד קלי   /  Ned Kelly, 2003, גרגור ג'ורדן,"הית' לדג'ר, אורלנדו בלום, ג'פרי ראש, נעמי ווטס, ג'ואל אדגרטון, קרי קונדון, רייצ'ל גריפית'ס, לורנס קינלן", דרמה / פשע / ביוגרפיה
1046,http://www.torec.net/sub.asp?sub_id=1046,קינג קונג   /  King Kong, 2005, ,"נעמי ווטס, ג'ק בלאק, אדריאן ברודי, אנדי סרקיס, ג'יימי בל, תומאס קרטצמן, קולין הנקס", פיטר ג'קסון
1065,http://www.torec.net/sub.asp?sub_id=1065,גבר גבר   /  The Man, 2005, לס מאיפילד,"סמואל ל. ג'קסון, יוג'ין לוי, לוק גוס, אנת'וני מקי, מיגואל  פרר, הורשיו סאנסז, סוזי אסמן, רייצ'ל קראפורד", קומדיה - פעולה
1029,http://www.torec.net/sub.asp?sub_id=1029,בן ערובה   /  Hostage, 2005, פלורנט אמיליו סירי,"ברוס וויליס, קווין פולאק, ג'ימי בנט, מישל הורן, בן פוסטר, ג'ונתן טאקר, מרשל אלמן, סרינה סקוט תומאס, קים קואטס, רוברט נפר, רומר וויליס", פעולה / מתח
1032,http://www.torec.net/sub.asp?sub_id=1032,סהרה   /  Sahara, 2005, ברק איזנר,"מתיו מקונהי, פנלופה קרוז", הרפתקאה / פעולה
1036,http://www.torec.net/sub.asp?sub_id=1036,דרך ללא מוצא   /  Dead End, 2003, ג'ין בפטיסט אנדרה,"ריי ווייס, לין שיי, מיק קיין", מתח / אימה
1040,http://www.torec.net/sub.asp?sub_id=1040,קונסטנטין   /  Constantine, 2005, פראנסיס לורנס,"קיאנו ריבס, רייצ'ל ווייז, שאיה להבוף, דג'ימון אונסו, מקס בקר, פרואיט טיילור וינס, טילדה סווינטון", אקשן / דרמה / פנטזיה
1007,http://www.torec.net/sub.asp?sub_id=1007,אח סמוי   /  Undercover Brother, 2002, מלקולם ד. לי,"אדי גריפין, דניס ריצ'ארדס, כריס קטן", קומדיה / פעולה
1008,http://www.torec.net/sub.asp?sub_id=1008,מכונת הזמן   /  The Time Machine, 2002, סימון וולס,"גיא פירס, מרק אדי", מדע בדיוני
975,http://www.torec.net/sub.asp?sub_id=975,יום שישי   /  Friday, 1995, פ. גארי גריי,"אייס קיוב, כריס טאקר, ניה לונג, טומי ליסטר ג'וניור, ג'ון וויתרספון, אנה מארי הורספורד, רג'ינה קינג, פולה ג'יי פרקר, פייזון לאב, טוני קוקס, ברני מאק, מייקל קלארק דאנקן", קומדיה / פשע
977,http://www.torec.net/sub.asp?sub_id=977,יום שישי הבא   /  Next Friday, 2005, סטיב קאר,"אייס קיוב, מייק אפס, טמלה ג'ונס, ג'ון וויתרספון, ג'סטין פירס, דון קארי, טומי ליסטר ג'וניור, קים וויתלי, ג'ייקוב ורגאס, סטיקי פינגאז, קליפטון פאוול", קומדיה
979,http://www.torec.net/sub.asp?sub_id=979,11:11, 2004, מייקל בפארו,"לורה מנל, פול דצנקווי, קריסטי וויל, כריסטינה קופלנד", מתח
980,http://www.torec.net/sub.asp?sub_id=980,קר ואפל   /  Cold and Dark, 2005, ,"לוק גוס, קווין האוורת, קרלי טורנבול", אנדרו גות'
982,http://www.torec.net/sub.asp?sub_id=982,שותפים לדירה   /  Roomies, 2004, אוליבר רובינס,"א.ג'יי.באקלי, הולי פילדס, ג'ניפר ליונס, ג'ואל מייקלי"," קומדיה, דרמה, רומנטי"
984,http://www.torec.net/sub.asp?sub_id=984,שני צעדים למוות   /  Cradle 2 The Grave, 2003, אנדרג'י ברטקוויאק,"ג'ט לי, די.אם.אקס, אנטוני אנדרסון, קלי הו, טום ארנולד, מארק דאקאסקוס, גבריאלה יוניו"," אקשן,פשע,דרמה,מתח"
992,http://www.torec.net/sub.asp?sub_id=992,אלקטרה   /  Elektra, 2005, רוב באומן,"ג'ניפר גארנר, טרנס סטאמפ, גוראן ויסניץ', וויל יון לי, קארי הירויוקי טאגאווה, בן אפלק", דרמה
936,http://www.torec.net/sub.asp?sub_id=936,טיסת לילה   /  Red Eye, 2005, ווס קרייבן,"רייצ'ל מק'אדמס, סיליאן מרפי, בריאן קוקס, טינה אנדרסון", מתח - אימה - דרמה
947,http://www.torec.net/sub.asp?sub_id=947,הפריצה לאלקטרז   /  The rock, 1996, מייקל ביי,"שון קונרי, ניקולס קייג', אד האריס, ג'ון ספנסר, דיוויד מורס, מייקל ביין", אקשן / מתח
948,http://www.torec.net/sub.asp?sub_id=948,האות השביעי   /  The Seventh Sign, 1988, קרל שולץ,"דמי מור, מייקל ביין, פיטר פרידמן", דרמה / מתח
952,http://www.torec.net/sub.asp?sub_id=952,תמרה   /  Tamara, 2005, ג'רמי האפט,"מת'יו מרסדן, צ'אד פוסט, גיל הכהן, קלודט מינק", אימה / מתח
960,http://www.torec.net/sub.asp?sub_id=960,לוחמי הארץ וגן עדן   /  Warriors of Heaven and Earth, 2003, פינג הא,"", פעולה - סיני
901,http://www.torec.net/sub.asp?sub_id=901,הרוצח בפנים   /  A Killer Within, 2005,"","",""
911,http://www.torec.net/sub.asp?sub_id=911,חשדות מהעבר   /  dolores claiborne, 1995, טיילור הקפורד,"קתי בייטס, ג'ניפר ג'ייסון לי", דרמה
921,http://www.torec.net/sub.asp?sub_id=921,משנק   /  Throttle, 2005, ,"גרייסון מק'קאוץ', אדריאן פול, איימי לוקן", ג'יימס סיל
922,http://www.torec.net/sub.asp?sub_id=922,בובספוג: איפה גארי   /  Spongebob Where is Gary, 2005,"","",""
923,http://www.torec.net/sub.asp?sub_id=923,אוצר לאומי   /  National Treasure, 2004, ג'ון טרטלטאוב,"ניקולס קייג', דיאן קרוגר, הרווי קייטל, שון בין, כריסטופר פאלמר", פעולה / הרפתקאות
926,http://www.torec.net/sub.asp?sub_id=926,הרשת   /  The Net, 1995, אירווין ווינקלר,"סנדרה בולוק, ג'רמי נורת'מן, דניס מילר, דיאנה בייקר", מתח / דרמה
928,http://www.torec.net/sub.asp?sub_id=928,בזהות אחרת   /  The New Guy, 2002, אד דקטר,"די.ג'יי.סקוולס, אליזה דושקו, זואי דסקנל, ג'רוד מיקסון", קומדיה
874,http://www.torec.net/sub.asp?sub_id=874,אמריקן פאי 3: החתונה   /  American Pie 3: American Wedding, 2003, ג'סי דילן,"יוג'ין לוי, שון וויליאם סקוט, ג'ייסון ביגס, אליסון האניגמן, ג'נוארי ג'ונס", קומדיה
893,http://www.torec.net/sub.asp?sub_id=893,מלך האריות 2: מלכות סימבה   /  The Lion King II: Simba's Prid, 1998, דרל רוני,"מתיו ברודריק, מוירא קלי, נב קמפבל, ליז קלאווי, מישל הורן, אשלי אדנר, אנדי דיק", קומדיה / מצויר
821,http://www.torec.net/sub.asp?sub_id=821,הנוסע השמיני נגד הטורף   /  Alien Vs Predator, 2004, פול אנדרסון,"לאנס הנריקסון, שאנה לאטן, ראול בובה, אוון ברמנר, קולין סאלמון, טומי פלאנגן", אימה
825,http://www.torec.net/sub.asp?sub_id=825,מלחמת הכוכבים: פרק 3 - נקמת הסית'   /  Star Wars: Episode III - Revenge Of The Sith, 2005, ג'ורג' לוקאס,"נטלי פורטמן, יואן מקגרגור", מדע בדיוני
827,http://www.torec.net/sub.asp?sub_id=827,פחד ראשוני   /  Primal Fear, 1996, גרגורי הובליט,"ריצ'ארד גיר, אדוארד נורטון, לורה ליני, ג'ון מהוני, פרנסס מקדורמנד, אלפרה וודוורד, טרי או'קווין, אנדרה בראואר, סטיבן באוור, ג'ו ספאנו, מאורה טירני", מתח / פשע / דרמה
773,http://www.torec.net/sub.asp?sub_id=773,זאב! זאב!   /  Cry Wolf, 2005, ג'ף וודלו,"ג'וליאן מוריס, לינדי בות', ג'רד פדלסקי, ג'ון בון ג'ובי, סנדרה מקוי, קריסטין וו, ג'יין בירד", אימה
776,http://www.torec.net/sub.asp?sub_id=776,שאיפות   /  Blow, 2001, טד דמי,"ג'וני דפ, פנולופה קרוז, רייצ'ל גריפיתס, ריי ליאוטה, ג'ורדי מולה, פרנקה פונטנה, פול רובנס", דרמה
797,http://www.torec.net/sub.asp?sub_id=797,קקסילי: סיור בהר   /  Kekexili : Mountain Patrol, 2004, צ'ואן לו,"דובוג'י, זאנג לי, קי ליאנג, קסוינג זאו", פעולה / דרמה
732,http://www.torec.net/sub.asp?sub_id=732,אכזריות בלתי נסבלת   /  Intolerable Cruelty, 2003, האחים כוהן,"ג'ורג' קלוני, קתרין זטה ג'ונס, ג'פרי ראש", קומדיה
737,http://www.torec.net/sub.asp?sub_id=737,גול!   /  Goal!, 2005, דני קנון,"קונו בקר, מרסל איורס, אלסנדרו ניבולה, סטיבן דיליין, אנה פריל, דויד בקהאם, זינדין זידאן, קירון דייר, ראול גונזלס, בריאן ג'ונסון", דרמה
740,http://www.torec.net/sub.asp?sub_id=740,רוע עמוק   /  Deep Evil, 2004, פאט וויליאמס,"לורנזו לאמאס, אונה גרונר, אדם הרינגטון, ג'ים ת'ורבורן, וויל סנדרסון"," אימה, מדע בדיוני"
741,http://www.torec.net/sub.asp?sub_id=741,הנשכחים   /  The Forgotten, 2004, ג'וזף רובן,"ג'וליאן מור, אנתוני אדוארדס, גארי סיניז, דומיניק ווסט, אלפרה וודארד", אימה
743,http://www.torec.net/sub.asp?sub_id=743,המערה   /  The Cave, 2005, ברוס האנט,"פייפר פראבו, קול האוזר, מוריס צ'סטנאט, אדי סיבריאן, ריק רבנלו", אימה / מדע בדיוני
747,http://www.torec.net/sub.asp?sub_id=747,ג'רזי גירל   /  Jersey Girl, 2004, קווין סמית',"בן אפלק, ג'ניפר לופז, ליב טיילר", קומדיה / דרמה
703,http://www.torec.net/sub.asp?sub_id=703,להרוג את ביל 1   /  Kill Bill, 2003, קוונטין טרנטינו,"אומה טורמן, דיוויד קאראדין, לוסי לו, דריל האנה, ויויקה פוקס, מייקל מדסן", מתח / פעולה
704,http://www.torec.net/sub.asp?sub_id=704,להרוג את ביל: חלק 2   /  Kill Bill: Vol. 2, 2004, קוונטין טרנטינו,"אומה תורמן, דייוויד קאראדין, דאריל האנה, סמואל ל. ג'קסון, מייקל מדסן, צ'אי הו לו, לוסי לו, כריס נלסון", מתח / פעולה / פשע
711,http://www.torec.net/sub.asp?sub_id=711,מחלק 13   /  Assault on Precinct 13, 2005, ז'אן-פרנסואה רישה,"איתן הוק, לורנס פישברן, גבריאל ביירן, מריה בלו, דריה דה מטאו, ג'ון לגיזמו, ג'ה רול, בריאן דנהי, מאט קרייבן", פעולה / מתח
713,http://www.torec.net/sub.asp?sub_id=713,אשה טובה   /  A Good Woman, 2004, מייק ברקר,"הלן האנט, סקרלט ג'והנסון, ג'ון סטנדינג", דרמה / קומדיה / רומנטיקה
718,http://www.torec.net/sub.asp?sub_id=718,נהר המלך   /  The River King, 2005, ניק ווילינג,"אדוארד ברנס, ג'ניפר אלי"," דרמה, מתח"
723,http://www.torec.net/sub.asp?sub_id=723,מטוס נשמה   /  Soul Plane, 2004, ג'סי טררו,"טום ארנולד, מתוד מן, סנופ דוג, בריאן הוקס, אריאל", קומדיה
673,http://www.torec.net/sub.asp?sub_id=673,הארי פוטר וגביע האש   /  Harry Potter and the Goblet of Fire, 2005, מייק ניואל,"דניאל רדקליף, רופרט גרינט, אמה ווטסון, רובי קולטרין, ראלף פינס, מייקל גמבון, ברנדן גליסון, ג'ייסון אייזיק, גארי אולדמן, מירנדה ריצארדסון, אלן ריקמן, מגי סמית', טימוטי ספל, שירלי הנדרסון", הרפתקאות/פנטזיה
668,http://www.torec.net/sub.asp?sub_id=668,בתול בן 40   /  The 40 Year Old Virgin, 2005, ג'אד אפאטו,"סטיב קרל, קתרין קינר, פול ראד, רומני מלקו, סת רוג'ר, אליזבת בנקס"," קומדיה, רומנטיקה"
680,http://www.torec.net/sub.asp?sub_id=680,מוכרים בלבד   /  clerks, 1994, קווין סמית',"קווין סמית', ג'יסון מיוז", קומדיה
681,http://www.torec.net/sub.asp?sub_id=681,עכברי הקניון   /  Mallrats, 1995, קויין סמית',"קווין סמית', ג'יסון מיוז, ג'יסון לי", קומדיה
44649,http://www.torec.net/sub.asp?sub_id=44649,אדמירל   /  Admiral (Michiel de Ruyter), 2015, ,"פרנק אלמרס, סנה לנגלר, בארי אסטמה, רולנד פרנאוט", פעולה / הרפתקאות / ביוגרפיה
696,http://www.torec.net/sub.asp?sub_id=696,הארי פוטר והאסיר מאזקבאן   /  HARRY POTTER AND THE PRISONER OF AZKABAN, 2004, אלפונסו קוארון,"דניאל רדקליף, אמה ווטסון, רופרט גרינט, רובי קולטריין, גארי אולדמן, מייקל גמבון, אלן ריקמן, מגי סמית', דיוויד ת'ווליס, אמה תומפסון, ג'ולי וולטרס, ג'ולי קריסטי", פנטזיה / הרפתקאות / משפחה
700,http://www.torec.net/sub.asp?sub_id=700,שרק 2   /  Shrek 2, 2004," אנדרו אדמסון , קלי אסבורי","מייק מאיירס, אדי מרפי, קמרון דיאז, אנטוניו בנדרס, ג'ון קליז, ג'ולי אנדרוס, רופרט אוורט, לארי קינג, ג'ניפר סאונדרס", אנימציה / ילדים / קומדיה
637,http://www.torec.net/sub.asp?sub_id=637,ירח דבש   /  The Honeymooners, 2005, ג'ון שולץ,"סדריק, מייק אפס, גבריאל יוניון, רג'ינה הול, אריק סטולץ, ג'ון לגיזמו", קומדיה
649,http://www.torec.net/sub.asp?sub_id=649,אשה חתול   /  Catwoman, 2004, פיטוף,"האלי ברי, שרון סטון, בנג'מין בארט, למברט וילסון, פרנסס קונרוי", מתח / פעולה
650,http://www.torec.net/sub.asp?sub_id=650,אחי הדוב   /  Brother Bear, 2003," אהרון בלייז , רוברט ווקר","חואקין פינקס, ג'רמי סווארז, ג'ייסון רייז, ריק מוראניס, דייב תומאס (דיבוב אנגלי)", אנימציה
651,http://www.torec.net/sub.asp?sub_id=651,קוביה אפס   /  Cube Zero, 2004, ארני ברברש,"זקרי בנט, סטפני מור, מייקל ריילי", מתח / פעולה / אימה
652,http://www.torec.net/sub.asp?sub_id=652,כלה להשגה   /  cake, 2005, נישה ג'נטרה,"הת'ר גרהאם, סנדרה או, טיי דיגס, דייויד סטקליף, שריל הינס", קומדיה
655,http://www.torec.net/sub.asp?sub_id=655,שר המלחמה   /  Lord of War, 2005, אנדרו ניקול,"ניקולאס קייג, איתן הוק, איאן הולם, ג'רד לטו, בריגיט מונהאיים", מתח/פעולה
657,http://www.torec.net/sub.asp?sub_id=657,ביג מאמא   /  Big Momma's House, 2000, ראג'ה גוסנל,"מרטין לורנס, ניה לונג"," קומדיה, פשע"
618,http://www.torec.net/sub.asp?sub_id=618,יומן האקסיות   /  Little Black Book, 2004, ניק הורן,"בריטני מרפי, הולי האנטר, רון ליוינגסטון", קומדיה / רומנטיקה
620,http://www.torec.net/sub.asp?sub_id=620,מיקיבו ואני   /  Mickybo and Me, 2005, טרי לאוני,ג'ון ג'ו מקניל. ניאל רייט," קומדיה, דרמה"
589,http://www.torec.net/sub.asp?sub_id=589,סודות הים הכחול   /  Into the Blue, 2005, ג'ון סטוקוול,"פול ווקר, ג'סיקה אלבה, סקוט קאן, אשלי סקוט, ג'וש ברולין, ג'יימס פראיין", מתח / פעולה
591,http://www.torec.net/sub.asp?sub_id=591,ביג   /  Big, 1988, פני מרשל,"טום הנקס, אליזבת פרקינס, ג'ון לוביץ", קומדיה / רומנטיקה
604,http://www.torec.net/sub.asp?sub_id=604,דברים יפים מלוכלכים   /  Dirty Pretty Things, 2002, סטפן פריארס,"שיבטל אג'יפור, אודרי טוטו", דרמה - מתח
